"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"State of Maine","ME","Health Plan","453894","11/16/2023","Hacking/IT Incident","Network Server","No",""
"Rock Valley Physical Therapy Center","IL","Healthcare Provider","2421","11/16/2023","Unauthorized Access/Disclosure","Email","No",""
"CareTree, Inc.","IL","Business Associate","1097","11/15/2023","Hacking/IT Incident","Network Server","Yes",""
"Westside Community Services","CA","Healthcare Provider","2484","11/15/2023","Hacking/IT Incident","Network Server","No",""
"International Paper Company Group Health and Welfare Plan (the ""IP Plan"")","TN","Health Plan","78692","11/14/2023","Hacking/IT Incident","Network Server","Yes",""
"Medical College of Wisconsin","WI","Healthcare Provider","240667","11/14/2023","Hacking/IT Incident","Network Server","No",""
"Medical Eye Services, Inc.","NY","Business Associate","377931","11/14/2023","Hacking/IT Incident","Network Server","Yes",""
"Endocrine and Psychiatry Center","TX","Healthcare Provider","28531","11/14/2023","Hacking/IT Incident","Network Server","No",""
"Southwest Behavioral Health Center","UT","Healthcare Provider","17147","11/13/2023","Hacking/IT Incident","Network Server","No",""
"CBIZ KA Consulting Services, LLC","NJ","Business Associate","30806","11/10/2023","Hacking/IT Incident","Network Server","Yes",""
"Woodfords Family Services","ME","Healthcare Provider","6691","11/10/2023","Hacking/IT Incident","Network Server","No",""
"Southland Integrated Services, Inc.","CA","Healthcare Provider","7988","11/10/2023","Hacking/IT Incident","Network Server","No",""
"Healix Infusion Therapy, LLC","TX","Healthcare Provider","501","11/09/2023","Hacking/IT Incident","Network Server","No",""
"Warren General Hospital ","PA","Healthcare Provider","168921","11/09/2023","Hacking/IT Incident","Network Server","No",""
"Mariner Management Group ","OH","Healthcare Provider","1756","11/08/2023","Hacking/IT Incident","Network Server","No",""
"BBRx Pharmacy","NY","Healthcare Provider","501","11/07/2023","Hacking/IT Incident","Network Server","No",""
"Mannings 8th Ave Inc.","NY","Healthcare Provider","501","11/07/2023","Hacking/IT Incident","Network Server","No",""
"Confucius Pharmacy","NY","Healthcare Provider","501","11/07/2023","Hacking/IT Incident","Network Server","No",""
"Pharmacy Group of Mississippi, LLC","MS","Healthcare Provider","13129","11/07/2023","Hacking/IT Incident","Network Server","No",""
" Boomerang Healthcare","CA","Healthcare Provider","1204","11/07/2023","Unauthorized Access/Disclosure","Email","No",""
"Prestige Care, Inc.","WA","Healthcare Provider","501","11/06/2023","Hacking/IT Incident","Network Server","No",""
"Welltok, Inc.","CO","Business Associate","8493379","11/06/2023","Hacking/IT Incident","Network Server","Yes",""
"Wyndemere Senior Care LLC","IL","Healthcare Provider","607","11/06/2023","Hacking/IT Incident","Network Server","No",""
"WellLife Network Inc.","NY","Healthcare Provider","501","11/06/2023","Hacking/IT Incident","Network Server","No",""
"Healthsoft LLC","GA","Business Associate","1000","11/06/2023","Hacking/IT Incident","Network Server","Yes",""
"Financial Asset Management Systems (""FAMS"")","GA","Business Associate","164796","11/04/2023","Hacking/IT Incident","Network Server","Yes",""
"South Austin Health Imaging LLC dba Longhorn Imaging Center","TX","Healthcare Provider","100643","11/03/2023","Hacking/IT Incident","Network Server, Other","Yes",""
"Perry Johnson & Associates, Inc., which does business as PJ&A","NV","Business Associate","8952212","11/03/2023","Hacking/IT Incident","Network Server","Yes",""
"Catholic Charities of the Diocese of Rockville Centre d/b/a Catholic Charities of Long Island","NY","Healthcare Provider","13000","11/03/2023","Hacking/IT Incident","Network Server","No",""
"Youth and Shelter Services, Inc.","IA","Healthcare Provider","501","11/03/2023","Hacking/IT Incident","Network Server","No",""
"WACOSA","MN","Healthcare Provider","1380","11/03/2023","Hacking/IT Incident","Network Server","No",""
"Westat, Inc.","MD","Business Associate","20045","11/03/2023","Hacking/IT Incident","Network Server","Yes",""
"Mulkay Cardiology Consultants at Holy Name Medical Center, P.C.","NJ","Healthcare Provider","79582","11/03/2023","Hacking/IT Incident","Network Server","No",""
"Rebekah Children’s Services","CA","Healthcare Provider","2805","11/03/2023","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Postmeds, Inc.","CA","Healthcare Provider","2364359","10/30/2023","Hacking/IT Incident","Other","Yes",""
"Longhorn Village","TX","Healthcare Provider","1670","10/30/2023","Hacking/IT Incident","Email","No",""
"Frederiksted Health Care, Inc.","","Healthcare Provider","600","10/30/2023","Hacking/IT Incident","Network Server","No",""
"Northern Iowa Therapy PC","IA","Business Associate","5100","10/29/2023","Hacking/IT Incident","Network Server","Yes",""
"JDA eHealth Systems, Inc. d/b/a Parathon","IL","Business Associate","8099","10/27/2023","Hacking/IT Incident","Network Server","Yes",""
"PeakMed","CO","Healthcare Provider","27800","10/27/2023","Hacking/IT Incident","Network Server","No",""
"Pause Pain & Wellness","MS","Healthcare Provider","777","10/27/2023","Unauthorized Access/Disclosure","Email","Yes",""
"Hospital Sisters Health System","IL","Business Associate","500","10/26/2023","Hacking/IT Incident","Network Server","Yes",""
"Greater Rochester Independent Practice Association, Inc.","NY","Healthcare Provider","279156","10/26/2023","Hacking/IT Incident","Network Server","No",""
"Western Washington Medical Group ","MS","Healthcare Provider","350863","10/26/2023","Hacking/IT Incident","Network Server","No",""
"Fredericksburg Foot & Ankle Center, PLC","VA","Healthcare Provider","14912","10/25/2023","Hacking/IT Incident","Network Server","No",""
"Edward C. Taylor, PhD., PL","FL","Healthcare Provider","6684","10/25/2023","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"LCS Financial Services","CO","Business Associate","768","10/24/2023","Hacking/IT Incident","Network Server","Yes",""
"eleHealth","LA","Business Associate","2187","10/24/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"University of Michigan, on behalf of certain HIPAA-covered functions of the University that operate as a HIPAA hybrid entity","MI","Healthcare Provider","61033","10/23/2023","Hacking/IT Incident","Network Server","No",""
"Dakota Eye Institute","ND","Healthcare Provider","107143","10/23/2023","Hacking/IT Incident","Network Server","No",""
"La Red Health Center","DE","Healthcare Provider","39759","10/20/2023","Hacking/IT Incident","Network Server","No",""
"McLaren Health Care","MI","Healthcare Provider","501","10/20/2023","Hacking/IT Incident","Network Server","No",""
"City of Philadelphia ","PA","Health Plan","501","10/20/2023","Hacking/IT Incident","Email","No",""
"Radius Global Solutions","PA","Business Associate","135742","10/19/2023","Hacking/IT Incident","Network Server","Yes",""
"Counseling and Recovery Services of Oklahoma","OK","Healthcare Provider","3365","10/19/2023","Hacking/IT Incident","Desktop Computer, Email","No",""
"Hospital & Medical Foundation of Paris, Inc","IL","Healthcare Provider","16598","10/19/2023","Hacking/IT Incident","Network Server","Yes",""
"Napa Integrated Medicine PC","CA","Business Associate","600","10/19/2023","Theft","Desktop Computer","Yes",""
"Oscar Insurance Company of Florida","NY","Health Plan","1045","10/19/2023","Hacking/IT Incident","Network Server","No",""
"Singing River Health System and its wholly owned subsidiary, Singing River Gulfport","MS","Healthcare Provider","501","10/18/2023","Hacking/IT Incident","Network Server","No",""
"BHI Energy Health and Welfare Benefits Plan","MA","Health Plan","4049","10/18/2023","Hacking/IT Incident","Network Server","No",""
"Helping the Aging Needy and Disabled Inc","TX","Healthcare Provider","628","10/18/2023","Hacking/IT Incident","Email","No",""
"Peerstar LLC","PA","Healthcare Provider","11438","10/16/2023","Hacking/IT Incident","Network Server","No",""
"Westat, Inc.","MD","Business Associate","50065","10/13/2023","Hacking/IT Incident","Network Server","Yes",""
"Atlas Healthcare CT","CT","Healthcare Provider","10831","10/13/2023","Unauthorized Access/Disclosure","Network Server","No",""
"NASCO","GA","Business Associate","2956","10/10/2023","Hacking/IT Incident","Network Server","Yes",""
"BHS Physician Network, Inc. ","TX","Healthcare Provider","1857","10/10/2023","Hacking/IT Incident","Email","No",""
"Data Media Associates","GA","Business Associate","2035","10/09/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Fellowship Village","NJ","Healthcare Provider","501","10/08/2023","Hacking/IT Incident","Network Server","No",""
"Brooklyn Premier Orthopedics","NY","Healthcare Provider","48459","10/06/2023","Hacking/IT Incident","Network Server","No",""
"Neurovative Diagnostics, LLC","TX","Healthcare Provider","1599","10/05/2023","Unauthorized Access/Disclosure","Email","No",""
"Carle Health ","IL","Healthcare Provider","679","10/05/2023","Hacking/IT Incident","Network Server","Yes",""
"Region 4 South Mental Health Consortium","MN","Healthcare Provider","571","10/05/2023","Hacking/IT Incident","Network Server","No",""
"Borgfeld Dental Center PLLC dba Henwood Family Dentistry","TX","Healthcare Provider","7300","10/02/2023","Unauthorized Access/Disclosure","Electronic Medical Record, Network Server","No",""
"Arietis Health, LLC","FL","Business Associate","1975066","09/29/2023","Hacking/IT Incident","Network Server","Yes",""
"Piedmont Healthcare, Inc.","GA","Healthcare Provider","895","09/29/2023","Hacking/IT Incident","Network Server","Yes",""
"H3- Hope, Healing, Health Inc.","MI","Healthcare Provider","500","09/29/2023","Hacking/IT Incident","Email","No",""
"Physio Logic Medicine, PC","NY","Healthcare Provider","1280","09/29/2023","Hacking/IT Incident","Network Server","No",""
"International Business Machines Corporation","NY","Business Associate","630755","09/29/2023","Unauthorized Access/Disclosure","Other","Yes",""
"Physio Logic Chiropractic and Physical Therapy, PLLC and Dr. Patty DiBlasio, PC","NY","Healthcare Provider","9580","09/29/2023","Hacking/IT Incident","Network Server","No",""
"Georgia Northside Ear, Nose, and Throat, LLC.","TX","Healthcare Provider","37774","09/29/2023","Hacking/IT Incident","Email","No",""
"Greater Dallas Healthcare Enterprises","TX","Healthcare Provider","143833","09/29/2023","Hacking/IT Incident","Email","No",""
"South Florida Behavioral Health Network ","FL","Business Associate","2729","09/29/2023","Hacking/IT Incident","Network Server","Yes",""
"Acadia Health, LLC d/b/a Just Kids Dental","AL","Healthcare Provider","129463","09/27/2023","Hacking/IT Incident","Network Server","No",""
"Hospice of the Bluegrass, Inc. dba Bluegrass Care Navigators","KY","Healthcare Provider","6814","09/26/2023","Hacking/IT Incident","Email","No",""
"Entertainment Community Fund, dba Actors Fund Home","NJ","Healthcare Provider","1110","09/26/2023","Hacking/IT Incident","Network Server","No",""
"AIDS Alabama, Inc.","AL","Healthcare Provider","1922","09/26/2023","Hacking/IT Incident","Network Server","No",""
"Community First Medical Center","IL","Healthcare Provider","216047","09/26/2023","Hacking/IT Incident","Network Server","No",""
"Riverdale Mental Health d/b/a Mosaic Mental Health ","NY","Healthcare Provider","7281","09/25/2023","Hacking/IT Incident","Network Server","No",""
"Tangoe, Inc.","IN","Health Plan","718","09/25/2023","Hacking/IT Incident","Network Server","No",""
"Cook County Health and Hospitals System","IL","Healthcare Provider","500","09/24/2023","Hacking/IT Incident","Network Server","Yes",""
"Navvis & Company, LLC","MO","Business Associate","917","09/22/2023","Hacking/IT Incident","Network Server","Yes",""
"OrthoAlaska, LLC","AK","Healthcare Provider","176203","09/22/2023","Hacking/IT Incident","Network Server","No",""
"Blue Cross Blue Shield of Texas","IL","Business Associate","3708","09/22/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Clover Health LLC","NJ","Health Plan","2834","09/22/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Indiana University Health","IN","Healthcare Provider","4194","09/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Health First, Inc.","FL","Healthcare Provider","14171","09/22/2023","Hacking/IT Incident","Email","No",""
"Wellstar Health System","GA","Healthcare Provider","728","09/21/2023","Hacking/IT Incident","Network Server","Yes",""
"Lakeview Clinic ","MN","Healthcare Provider","624","09/21/2023","Unauthorized Access/Disclosure","Email","No",""
"Arkansas Total Care, Inc.","AR","Health Plan","578","09/21/2023","Hacking/IT Incident","Network Server","Yes",""
"Elevate Patient Financial Solutions","TX","Business Associate","5364","09/20/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Virginia Dept. of Medical Assistance Services","VA","Health Plan","1229333","09/18/2023","Hacking/IT Incident","Network Server","Yes",""
"Erlanger Health, Inc.","TN","Healthcare Provider","2753","09/18/2023","Hacking/IT Incident","Other","Yes",""
"Oak Valley Hospital District","CA","Healthcare Provider","284629","09/15/2023","Hacking/IT Incident","Network Server","No",""
"Temple University Health System,Inc.","PA","Healthcare Provider","430381","09/15/2023","Hacking/IT Incident","Network Server","Yes",""
"Omnicell Specialty Pharmacy Services (OSPS)","TX","Business Associate","661","09/15/2023","Hacking/IT Incident","Email","Yes",""
"Founder Project Rx, Inc.","TX","Healthcare Provider","30836","09/15/2023","Hacking/IT Incident","Email","No",""
"Peach State Health Plan","GA","Health Plan","1246","09/15/2023","Hacking/IT Incident","Network Server","Yes",""
"Advocates for a Healthy Community Inc dba Jordan Valley Community Health Center","MO","Healthcare Provider","2502","09/15/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"VA Dept. of Medical Assistance Services","VA","Health Plan","928","09/14/2023","Hacking/IT Incident","Network Server","Yes",""
"Pharm-Pacc Corporation","FL","Business Associate","3749","09/12/2023","Hacking/IT Incident","Network Server","Yes",""
"Sutter North Surgery Center ","CA","Healthcare Provider","861","09/08/2023","Hacking/IT Incident","Network Server","Yes",""
"Laboratory Corporation of America Holdings dba LabCorp","NC","Healthcare Provider","1431","09/08/2023","Unauthorized Access/Disclosure","Other","No",""
"Ryders Health Management LLC ","CT","Healthcare Provider","7252","09/07/2023","Hacking/IT Incident","Network Server","No",""
"Coos Health & Wellness","OR","Healthcare Provider","21971","09/07/2023","Hacking/IT Incident","Network Server","No",""
"United Healthcare Services, Inc. Single Affiliated Covered Entity","CT","Health Plan","315915","09/07/2023","Unauthorized Access/Disclosure","Network Server, Other","No",""
"Amerita","KS","Healthcare Provider","219707","09/05/2023","Hacking/IT Incident","Network Server","No",""
"Delta Dental of California","CA","Health Plan","501","09/05/2023","Hacking/IT Incident","Network Server","No",""
"Bienville Orthopaedic Specialists LLC","MS","Healthcare Provider","242986","09/05/2023","Hacking/IT Incident","Network Server","No",""
"Georgia Hand, Shoulder & Elbow, PC","GA","Healthcare Provider","20498","09/01/2023","Hacking/IT Incident","Email","No",""
"Bloom Health Centers","MD","Healthcare Provider","1545","09/01/2023","Unauthorized Access/Disclosure","Email","No",""
"North Mississippi Medical Center, Inc.","MS","Healthcare Provider","950","09/01/2023","Hacking/IT Incident","Email","No",""
"MedMinder Systems, Inc.","MA","Healthcare Provider","12146","09/01/2023","Hacking/IT Incident","Network Server","No",""
"Enzo Clinical Labs, Inc.","NY","Healthcare Provider","1700","08/31/2023","Hacking/IT Incident","Network Server","No",""
"Mountain View Family Practice, PC","MA","Healthcare Provider","5139","08/31/2023","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"PurFoods, LLC","IA","Healthcare Provider","1229333","08/25/2023","Hacking/IT Incident","Network Server","No",""
"Associates in Pediatric Dentistry","LA","Healthcare Provider","9703","08/25/2023","Hacking/IT Incident","Email","No",""
"Data Media Associates","GA","Business Associate","74730","08/24/2023","Hacking/IT Incident","Other","Yes",""
"Detroit Central City Community Mental Health","MI","Healthcare Provider","1412","08/24/2023","Hacking/IT Incident","Email","No",""
"Milan Eye Center","GA","Healthcare Provider","67336","08/23/2023","Hacking/IT Incident","Network Server","Yes",""
"PRIME THERAPEUTICS LLC","MN","Business Associate","6050","08/23/2023","Hacking/IT Incident","Network Server","Yes",""
"Vecino Health Centers","TX","Healthcare Provider","1339","08/22/2023","Hacking/IT Incident","Network Server","No",""
"Serco Inc. Group Health Plan","VA","Health Plan","10140","08/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Absolute Dental Services","NC","Business Associate","10037","08/21/2023","Hacking/IT Incident","Email","Yes",""
"McAlester Regional Health Center","OK","Healthcare Provider","37731","08/21/2023","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Health Care Service Corporation","IL","Health Plan","220913","08/21/2023","Hacking/IT Incident","Network Server","Yes",""
"Advanced Reproductive Health Center Ltd., d/b/a Chicago IVF","IL","Healthcare Provider","2603","08/18/2023","Hacking/IT Incident","Network Server","Yes",""
"UofL Health ","KY","Healthcare Provider","8175","08/18/2023","Hacking/IT Incident","Network Server","No",""
"Aspen Dental Management, Inc.","NY","Business Associate","62183","08/18/2023","Hacking/IT Incident","Network Server","Yes",""
"TAG Urgent Care Support Services, LLC","NY","Business Associate","516985","08/18/2023","Hacking/IT Incident","Network Server","Yes",""
"SouthCoast Medical Group, LLC","GA","Healthcare Provider","501","08/17/2023","Hacking/IT Incident","Network Server","No",""
"Morris Hospital & Healthcare Centers","IL","Healthcare Provider","248943","08/17/2023","Hacking/IT Incident","Network Server","No",""
"The Harris Center for Mental Health and IDD","TX","Healthcare Provider","599367","08/17/2023","Hacking/IT Incident","Network Server, Other","Yes",""
"SysInformation Healthcare Services, LLC","TX","Business Associate","501","08/17/2023","Hacking/IT Incident","Network Server","Yes",""
"United Healthcare Services, Inc. Single Affiliated Covered Entity","CT","Health Plan","527","08/17/2023","Hacking/IT Incident","Network Server","Yes",""
"Baesman Group, Inc.","OH","Business Associate","24757","08/17/2023","Hacking/IT Incident","Network Server","Yes",""
"SUNY at Buffalo School of Dental Medicine","NY","Healthcare Provider","765","08/16/2023","Hacking/IT Incident","Network Server","Yes",""
"Kennedy University Hospital, Inc. t/a Jefferson Health ","NJ","Healthcare Provider","4140","08/15/2023","Unauthorized Access/Disclosure","Other Portable Electronic Device","No",""
"University of Utah ","UT","Health Plan","3914","08/15/2023","Hacking/IT Incident","Network Server","Yes",""
"Monocacy Valley Dental Brian K. Motz, DDS, PC","MD","Healthcare Provider","4000","08/15/2023","Theft","Laptop","No",""
"Nice Pak Products Inc., Health and Welfare Benefits Plan","NJ","Health Plan","8487","08/14/2023","Hacking/IT Incident","Network Server","No",""
"TRACT Radiology","MS","Business Associate","7810","08/14/2023","Hacking/IT Incident","Network Server","Yes",""
"VNS Health Plans","NY","Health Plan","103775","08/14/2023","Hacking/IT Incident","Network Server","Yes",""
"American National Group, LLC","TX","Health Plan","47711","08/11/2023","Hacking/IT Incident","Network Server","No",""
"Colorado Department of Health Care Policy & Financing","CO","Health Plan","4091794","08/11/2023","Hacking/IT Incident","Network Server","Yes",""
"El Centro Del Barrio d/b/a CentroMed","TX","Healthcare Provider","350000","08/11/2023","Hacking/IT Incident","Network Server","No",""
"Coastal Orthopedics & Sports Medicine of Southwest Florida","FL","Healthcare Provider","501","08/10/2023","Hacking/IT Incident","Network Server","No",""
"Allison Transmission Inc. Health Care Program for Hourly Employees / Wellness Program for Salaried Employees","IN","Business Associate","5330","08/10/2023","Hacking/IT Incident","Network Server","Yes",""
"Virginia Dept. of Medical Assistance Services","VA","Health Plan","423824","08/09/2023","Hacking/IT Incident","Network Server","Yes",""
"Lurie Children’s Surgical Foundation ","IL","Healthcare Provider","1997","08/08/2023","Hacking/IT Incident","Network Server","Yes",""
"Harris Eye Care","MI","Healthcare Provider","6267","08/08/2023","Hacking/IT Incident","Network Server","No",""
"Premera Blue Cross","WA","Health Plan","33212","08/08/2023","Hacking/IT Incident","Network Server","Yes",""
"Spinal and Sports Care Clinic PS","WA","Healthcare Provider","1100","08/08/2023","Hacking/IT Incident","Network Server","No",""
"Missouri Department of Social Services","MO","Health Plan","739884","08/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Redwood Coast Regional Center","CA","Healthcare Provider","1345","08/07/2023","Unauthorized Access/Disclosure","Email","No",""
"Cranberry Township Emergency Medical Service","PA","Healthcare Provider","1247","08/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Gary Motykie, M.D., a Medical Corporation ","CA","Healthcare Provider","3400","08/05/2023","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Radius Global Solutions","MN","Business Associate","600794","08/04/2023","Hacking/IT Incident","Network Server","Yes",""
"Maximus, Inc.","VA","Business Associate","2781617","08/04/2023","Hacking/IT Incident","Network Server","Yes",""
"Capital Neurological Surgeons","CA","Healthcare Provider","1769","08/04/2023","Hacking/IT Incident","Email","No",""
"Unum Group SACE","TN","Health Plan","531732","08/03/2023","Hacking/IT Incident","Network Server","No",""
"Self-insured group health plans sponsored by the City of Dallas","TX","Health Plan","30253","08/03/2023","Hacking/IT Incident","Network Server","No",""
"Cognizant Technologies Solutions U.S. Corporation","TX","Business Associate","7313","08/03/2023","Hacking/IT Incident","Network Server","Yes",""
"Advanced Care Partners, LLC","GA","Healthcare Provider","518","08/03/2023","Unauthorized Access/Disclosure","Email","No",""
"Plumbers Local 8 Health & Welfare Fund","MO","Health Plan","4790","08/02/2023","Hacking/IT Incident","Email","No",""
"Grane Supply, Inc.","PA","Healthcare Provider","798","08/01/2023","Unauthorized Access/Disclosure","Email","No",""
"HCA Healthcare","TN","Business Associate","11270000","07/31/2023","Hacking/IT Incident","Other","Yes",""
"Johns Hopkins Health System Corporation","MD","Business Associate","2584","07/31/2023","Hacking/IT Incident","Network Server","Yes",""
"Howard County General Hospital","MD","Healthcare Provider","2975","07/31/2023","Hacking/IT Incident","Network Server","Yes",""
"Synergy Healthcare Services","GA","Business Associate","25772","07/31/2023","Hacking/IT Incident","Network Server","Yes",""
"UC Davis Health","CA","Healthcare Provider","3201","07/28/2023","Hacking/IT Incident","Email","No",""
"Dean Health Service Company, LLC (referenced herein as ""WellFirst Health"")","MN","Business Associate","1027","07/28/2023","Hacking/IT Incident","Network Server","Yes",""
"United Healthcare Services, Inc. Single Affiliated Covered Entity","CT","Health Plan","398319","07/28/2023","Hacking/IT Incident","Network Server","No",""
"Jefferson County Health Center","IA","Healthcare Provider","53827","07/28/2023","Hacking/IT Incident","Network Server","No",""
"The Chattanooga Heart Institute","TN","Healthcare Provider","170450","07/28/2023","Hacking/IT Incident","Network Server","No",""
"Florida Health Sciences Center, Inc. dba Tampa General Hospital ","FL","Healthcare Provider","2430920","07/28/2023","Hacking/IT Incident","Network Server","No",""
"Centers for Medicare & Medicaid Services","MD","Health Plan","2342357","07/28/2023","Hacking/IT Incident","Network Server","Yes",""
"CareSource","OH","Business Associate","3180537","07/27/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Saint Francis Health System","OK","Healthcare Provider","18911","07/26/2023","Hacking/IT Incident","Network Server","No",""
"Hillsborough County, Florida (County Government)","FL","Healthcare Provider","70636","07/26/2023","Hacking/IT Incident","Other","No",""
"Life Management Center of Northwest Florida, Inc. ","FL","Healthcare Provider","19107","07/25/2023","Hacking/IT Incident","Network Server","No",""
"Family Vision of Anderson, P.A.","SC","Healthcare Provider","62631","07/25/2023","Hacking/IT Incident","Network Server","No",""
"Bi-Bett Corporation","CA","Business Associate","4722","07/25/2023","Hacking/IT Incident","Email","Yes",""
"Johns Hopkins Medicine","MD","Healthcare Provider","310405","07/25/2023","Hacking/IT Incident","Network Server","No",""
"UT Southwestern Medical Center","TX","Healthcare Provider","98437","07/24/2023","Hacking/IT Incident","Network Server","No",""
"Sutter Senior Care ","CA","Healthcare Provider","519","07/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Paramedic Billing Services","IL","Healthcare Clearing House","501","07/21/2023","Hacking/IT Incident","Network Server","No",""
"Harris County Hospital District d/b/a Harris Health System ","TX","Healthcare Provider","455676","07/21/2023","Hacking/IT Incident","Network Server","No",""
"Batesville Tool & Die, Inc.","IN","Health Plan","574","07/21/2023","Hacking/IT Incident","Network Server","No",""
"Pennsylvania Department of Human Services","PA","Healthcare Provider","16390","07/21/2023","Unauthorized Access/Disclosure","Other","No",""
"New England Life Care, Inc.","ME","Healthcare Provider","51854","07/21/2023","Hacking/IT Incident","Network Server","No",""
"Mindful Innovations, PLLC","NC","Healthcare Provider","1900","07/20/2023","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Email, Laptop","No",""
"Associated Pathologists, LLC dba PathGroup Health Plan","TN","Health Plan","2031","07/18/2023","Hacking/IT Incident","Network Server","Yes",""
"ACUPUNCTURE AND INTEGRATIVE SOLUTIONS INCORPORATED","OH","Healthcare Provider","750","07/18/2023","Hacking/IT Incident","Network Server","No",""
"IVF Michigan, P.C.","MI","Healthcare Provider","9383","07/18/2023","Hacking/IT Incident","Network Server","No",""
"Fairfax Oral and Maxillofacial Surgery ","VA","Healthcare Provider","208194","07/14/2023","Hacking/IT Incident","Network Server","No",""
"The Pavillion at Health Park, LLC dba Park Royal Hospital","FL","Healthcare Provider","500","07/14/2023","Hacking/IT Incident","Email","No",""
"Wake Family Eye Care","NC","Healthcare Provider","14264","07/14/2023","Hacking/IT Incident","Network Server","No",""
"Beacon Specialized Living","MI","Healthcare Provider","3338","07/13/2023","Hacking/IT Incident","Network Server","No",""
"East Houston Medicine and Pediatrics Clinic","TX","Healthcare Provider","13184","07/13/2023","Loss","Paper/Films","No",""
"Kansas Joint & Spine Specialists ","KS","Healthcare Provider","83869","07/12/2023","Hacking/IT Incident","Network Server","No",""
"Konen & Associates dba Unified Pain Management ","TX","Healthcare Provider","500","07/12/2023","Hacking/IT Incident","Email","No",""
"Aria Care Partners ","KS","Healthcare Provider","77405","07/11/2023","Hacking/IT Incident","Network Server","No",""
"Charles George Department of Veterans Affairs Medical Center","NC","Healthcare Provider","1541","07/11/2023","Unauthorized Access/Disclosure","Email","No",""
"The Vitality Group, LLC","IL","Business Associate","17971","07/11/2023","Hacking/IT Incident","Network Server","Yes",""
"Catholic Charities of the Archdiocese of Newark","NJ","Healthcare Provider","9895","07/07/2023","Hacking/IT Incident","Network Server","No",""
"Precision Anesthesia Billing LLC","FL","Business Associate","209200","07/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Miracle-Ear Flagship, LLC","MN","Healthcare Provider","3560","07/07/2023","Hacking/IT Incident","Email","No",""
"Parsley Health, Inc. ","NY","Business Associate","1004","07/07/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"Norton Healthcare Inc.","KY","Healthcare Provider","501","07/07/2023","Hacking/IT Incident","Network Server","No",""
"Public Health Management Corporation","PA","Healthcare Provider","501","07/06/2023","Hacking/IT Incident","Network Server","No",""
"edgeMED Healthcare, LLC","FL","Business Associate","6700","07/06/2023","Hacking/IT Incident","Network Server","Yes",""
"Phoenician Medical Center, Inc","AZ","Healthcare Provider","162500","07/05/2023","Hacking/IT Incident","Network Server","No",""
"ARx Patient Solutions","KS","Healthcare Provider","41166","06/30/2023","Unauthorized Access/Disclosure","Email","No",""
"Mount Desert Island Hospital, Inc.","ME","Healthcare Provider","29952","06/30/2023","Hacking/IT Incident","Network Server","No",""
"South Suburban Surgical Suites, LLC","IN","Healthcare Provider","5340","06/30/2023","Hacking/IT Incident","Email","No",""
"Advanced Medical Management, LLC","MD","Business Associate","319485","06/29/2023","Hacking/IT Incident","Network Server","Yes",""
"Partnership Health Center","MT","Healthcare Provider","8331","06/29/2023","Unauthorized Access/Disclosure","Email","No",""
"Henrietta Johnson Medical Center","DE","Healthcare Provider","500","06/27/2023","Hacking/IT Incident","Network Server","Yes",""
"Activate Healthcare LLC","IL","Healthcare Provider","93761","06/23/2023","Hacking/IT Incident","Network Server","No",""
"Senior Choice, Inc. d/b/a The Atrium(216 Main St, Johnstown, PA) Beacon Ridge(1515 Wayne Ave, Indiana, PA) & The Patriot(495 W Patriot St, Somerset PA","PA","Healthcare Provider","500","06/23/2023","Hacking/IT Incident","Network Server","No",""
"The Williamsport Home","PA","Healthcare Provider","500","06/23/2023","Hacking/IT Incident","Network Server","No",""
"Desert Physicians Management","CA","Business Associate","63713","06/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Vitra Home Care, LLC","MA","Business Associate","658","06/22/2023","Hacking/IT Incident","Email","Yes",""
"Limbach Facility Services LLC Group Benefit Plan","PA","Health Plan","1392","06/22/2023","Hacking/IT Incident","Network Server","No",""
"DMS Health Technologies, Inc. ","ND","Healthcare Provider","48336","06/21/2023","Hacking/IT Incident","Network Server","No",""
"Murfreesboro Medical Clinic & SurgiCenter","TN","Healthcare Provider","559000","06/21/2023","Hacking/IT Incident","Network Server","No",""
